Machine,OEF,Work Time,Stop time,Change batch,Production real,Production / h Real,Avg count,Doffing number,Doffing avg time,On-going br,On-going brÊ[100sph],Low twist alarms,UKG
RF85,96.10,6361,04h:13m:29s,1,291.85,2.65,126.00,32,00h:09m:15s,1092,2.38,0,3.09
RF86,96.10,6443,04h:15m:35s,1,288.57,2.58,126.00,18,00h:01m:00s,1082,2.34,0,2.6
RF87,96.00,5711,03h:53m:55s,1,287.88,2.91,126.00,32,00h:08m:20s,1127,2.74,0,2.59
RF89,88.80,5354,11h:23m:27s,1,260.03,2.58,126.00,36,00h:30m:28s,1179,3.06,0,1.94
RF90,96.80,5853,03h:12m:57s,1,284.07,2.82,126.00,30,00h:05m:42s,1352,3.21,0,2.65
RF91,96.30,5747,03h:35m:34s,1,300.47,3.02,126.00,34,00h:06m:58s,1477,3.57,0,2.32
RF92,94.50,5899,05h:38m:12s,2,281.24,2.71,126.00,30,00h:05m:52s,1058,2.49,0,2.46
RF95,93.70,5100,05h:40m:35s,1,221.2,2.44,126.00,34,00h:10m:06s,545,1.23,0,2.94
RF96,95.40,5195,04h:05m:58s,1,307.85,3.39,126.00,32,00h:07m:16s,1129,2.49,0,3.36
RF97,76.30,4152,21h:29m:40s,2,262.68,2.90,124.35,30,00h:18m:58s,755,2.12,0,2.87
RF99,91.50,4982,07h:39m:30s,2,313.29,3.45,124.74,36,00h:25m:12s,798,1.96,0,2.94
RF100,94.20,5129,05h:12m:17s,1,307.78,3.39,126.00,34,00h:09m:40s,843,1.89,0,3.16
RF103,94.70,5837,05h:20m:54s,1,286.12,2.79,126.00,32,00h:06m:48s,880,2.09,0,2.55
RF104,88.60,5430,11h:38m:02s,1,266.14,2.61,126.00,30,00h:07m:58s,959,2.45,0,2.63
RF105,95.60,5667,04h:15m:31s,1,72.68,2.76,126.00,0,00h:00m:00s,1693,4.15,0,5.1
RF106,89.90,5359,09h:56m:37s,1,257.43,2.59,126.00,32,00h:11m:28s,1445,3.74,0,2.33
